node1227,Sockets,2
node1227,Model name,IntelR XeonR Gold 6240R CPU @ 2.40GHz
node1236,Cores per socket,26
node1236,Sockets,2
node1236,Model name,IntelR XeonR Gold 6230R CPU @ 2.10GHz
node1234,Cores per socket,20
node1234,Sockets,2
node1234,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1233,Cores per socket,20
node1233,Sockets,2
node1233,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1237,Cores per socket,26
node1237,Sockets,2
node1237,Model name,IntelR XeonR Gold 6230R CPU @ 2.10GHz
node1235,Cores per socket,20
node1235,Sockets,2
node1235,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1232,Cores per socket,20
node1232,Sockets,2
node1232,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1238,Cores per socket,64
node1238,Sockets,2
node1238,Model name,AMD EPYC 7702 64-Core Processor
node1239,Cores per socket,24
node1239,Sockets,2
node1239,Model name,IntelR XeonR Gold 6248R CPU @ 3.00GHz
node1243,Cores per socket,32
node1243,Sockets,2
node1243,Model name,AMD EPYC 7452 32-Core Processor
node1244,Cores per socket,32
node1244,Sockets,2
node1244,Model name,AMD EPYC 7452 32-Core Processor
node125,Cores per socket,8
node125,Sockets,2
node125,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1245,Cores per socket,32
node1245,Sockets,2
node1245,Model name,AMD EPYC 7452 32-Core Processor
node1242,Cores per socket,24
node1242,Sockets,2
node1242,Model name,IntelR XeonR Gold 6248R CPU @ 3.00GHz
node1292,Cores per socket,24
node1292,Sockets,2
node1292,Model name,AMD EPYC 7352 24-Core Processor
node1291,Cores per socket,24
node1291,Sockets,2
node1291,Model name,AMD EPYC 7352 24-Core Processor
node1247,Cores per socket,32
node1247,Sockets,2
node1247,Model name,AMD EPYC 7452 32-Core Processor
node1246,Cores per socket,32
node1246,Sockets,2
node1246,Model name,AMD EPYC 7452 32-Core Processor
node1251,Cores per socket,32
node1251,Sockets,2
node1251,Model name,AMD EPYC 7452 32-Core Processor
node1293,Cores per socket,24
node1293,Sockets,2
node1293,Model name,AMD EPYC 7352 24-Core Processor
node1250,Cores per socket,32
node1250,Sockets,2
node1250,Model name,AMD EPYC 7452 32-Core Processor
node1249,Cores per socket,32
node1249,Sockets,2
node1249,Model name,AMD EPYC 7452 32-Core Processor
node126,Cores per socket,8
node126,Sockets,2
node126,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1255,Cores per socket,32
node1255,Sockets,2
node1255,Model name,AMD EPYC 7452 32-Core Processor
node1254,Cores per socket,32
node1254,Sockets,2
node1254,Model name,AMD EPYC 7452 32-Core Processor
node1253,Cores per socket,32
node1253,Sockets,2
node1253,Model name,AMD EPYC 7452 32-Core Processor
node1248,Cores per socket,32
node1248,Sockets,2
node1248,Model name,AMD EPYC 7452 32-Core Processor
node1256,Cores per socket,32
node1256,Sockets,2
node1256,Model name,AMD EPYC 7452 32-Core Processor
node1295,Cores per socket,24
node1295,Sockets,2
node1295,Model name,AMD EPYC 7352 24-Core Processor
node1294,Cores per socket,24
node1294,Sockets,2
node1294,Model name,AMD EPYC 7352 24-Core Processor
